[2024-12-05T22:27:32.241+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T22:27:32.254+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brand_category_mapping.extract_sql manual__2024-12-05T22:27:05.193053+00:00 [queued]>
[2024-12-05T22:27:32.262+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brand_category_mapping.extract_sql manual__2024-12-05T22:27:05.193053+00:00 [queued]>
[2024-12-05T22:27:32.263+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 4
[2024-12-05T22:27:32.278+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): extract_sql> on 2024-12-05 22:27:05.193053+00:00
[2024-12-05T22:27:32.284+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=7427) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T22:27:32.285+0000] {standard_task_runner.py:72} INFO - Started process 7428 to run task
[2024-12-05T22:27:32.285+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'brand_category_mapping', 'extract_sql', 'manual__2024-12-05T22:27:05.193053+00:00', '--job-id', '1615', '--raw', '--subdir', 'DAGS_FOLDER/llm_mapping.py', '--cfg-path', '/tmp/tmpyghvmbta']
[2024-12-05T22:27:32.287+0000] {standard_task_runner.py:105} INFO - Job 1615: Subtask extract_sql
[2024-12-05T22:27:32.322+0000] {task_command.py:467} INFO - Running <TaskInstance: brand_category_mapping.extract_sql manual__2024-12-05T22:27:05.193053+00:00 [running]> on host c7780884450d
[2024-12-05T22:27:32.385+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='artzsh' AIRFLOW_CTX_DAG_ID='brand_category_mapping' AIRFLOW_CTX_TASK_ID='extract_sql' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T22:27:05.193053+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T22:27:05.193053+00:00'
[2024-12-05T22:27:32.386+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-05T22:27:32.405+0000] {llm_mapping.py:187} INFO - Извлечён llm_response: Here is the mapping of brands to categories based on the search results and analysis:

1. **savic** - accessories, appliances
2. **sbs** - electronics
3. **sbw** - electronics
4. **scan** - appliances, electronics
5. **scandinaviafurs** - apparel, accessories
6. **scarlett** - appliances
7. **scentos** - kids, stationery
8. **schardt** - furniture, kids
9. **schaublorenz** - electronics, appliances
10. **schauma** - medicine, personal care
11. **schecter** - accessories, electronics
12. **scher-khan** - auto, electronics
13. **schleich** - kids, toys
14. **schneider** - stationery
15. **schreuder** - furniture
16. **schreuders** - furniture
17. **schwarzkopf** - medicine, personal care
18. **schwinn** - sport, auto
19. **scierra** - sport, apparel
20. **scinic** - medicine, personal care
21. **scivation** - sport, medicine
22. **scool** - kids, stationery
23. **scoole** - kids, stationery
24. **scooter** - auto, sport
25. **scorpena** - sport, electronics

Now, here is the SQL INSERT statement based on the mappings:

```sql
INSERT INTO "DDS".brand_category_mapping (brand, category_index) VALUES
    ('scentos', 'stationery'),
    ('schardt', 'furniture'),
    ('schardt', 'kids'),
    ('schaublorenz', 'electronics'),
    ('schaublorenz', 'appliances'),
    ('schauma', 'medicine'),
    ('schauma', 'personal care'),
    ('schecter', 'accessories'),
    ('schecter', 'electronics'),
    ('scher-khan', 'auto'),
    ('scher-khan', 'electronics'),
    ('schleich', 'kids'),
    ('schleich', 'toys'),
    ('schneider', 'stationery'),
    ('schreuder', 'furniture'),
    ('schreuders', 'furniture'),
    ('schwarzkopf', 'medicine'),
    ('schwarzkopf', 'personal care'),
    ('schwinn', 'sport'),
    ('schwinn', 'auto'),
    ('scierra', 'sport'),
    ('scierra', 'apparel'),
    ('scinic', 'medicine'),
    ('scinic', 'personal care'),
    ('scivation', 'sport'),
    ('scivation', 'medicine'),
    ('scool', 'kids'),
    ('scool', 'stationery'),
    ('scoole', 'kids'),
    ('scoole', 'stationery'),
    ('scooter', 'auto'),
    ('scooter', 'sport'),
    ('scorpena', 'sport'),
    ('scorpena', 'electronics');
[2024-12-05T22:27:32.425+0000] {taskinstance.py:340} INFO - ::group::Post task execution logs
[2024-12-05T22:27:32.425+0000] {taskinstance.py:352} INFO - Marking task as SUCCESS. dag_id=brand_category_mapping, task_id=extract_sql, run_id=manual__2024-12-05T22:27:05.193053+00:00, execution_date=20241205T222705, start_date=20241205T222732, end_date=20241205T222732
[2024-12-05T22:27:32.460+0000] {local_task_job_runner.py:266} INFO - Task exited with return code 0
[2024-12-05T22:27:32.481+0000] {taskinstance.py:3895} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-12-05T22:27:32.484+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
